,count,mean,std,min,25%,50%,75%,max
SHLT,38487.0,2.4752513835840673,0.9703843124456112,1.0,2.0,2.0,3.0,5.0
BMI,38487.0,28.259105672045415,5.320587233228987,9.7,24.6,27.4,31.1,62.3
MSTOT,38487.0,13.365526021773587,1.8741367076725275,2.0,12.0,14.0,15.0,15.0
COGTOT,38487.0,23.946761244056436,4.143786797388985,3.0,21.0,24.0,27.0,35.0
INHPFN,38487.0,0.04128666822563463,0.25534841608956116,0.0,0.0,0.0,0.0,5.0
INHPE,38487.0,2.5982799386805936e-05,0.005097332575652256,0.0,0.0,0.0,0.0,1.0
HHHRES,38487.0,2.6788785823784655,1.140704695619833,2.0,2.0,2.0,3.0,14.0
HCHILD,38487.0,3.2666095045080157,1.9336773887818974,0.0,2.0,3.0,4.0,11.0
LIVSIB,38487.0,2.9448125341024243,2.4512435336074643,0.0,1.0,2.0,4.0,18.0
HINPOV,38487.0,0.03551848676176371,0.18508866516841418,0.0,0.0,0.0,0.0,1.0
HINPOVA,38487.0,0.03554446956115052,0.18515385760447475,0.0,0.0,0.0,0.0,1.0
HAIRA,38487.0,78742.64099626722,283976.1241598096,0.0,0.0,0.0,60000.0,35027000.0
HATOTB,38487.0,579882.1815052133,1330807.425142672,-3624527.0,76000.0,228400.0,588500.0,42226311.85025281
IEARN,38487.0,31068.1961538911,52357.43400484062,0.0,0.0,15000.0,42000.0,2000000.0
HITOT,38487.0,102512.52128438134,159141.11324680914,0.0,41812.0,70880.0,119400.0,10036000.0
PENINC,38487.0,0.16795281523631356,0.37382923660740974,0.0,0.0,0.0,0.0,1.0
HIGOV,38487.0,0.5616182087458103,0.4961951164265629,0.0,0.0,1.0,1.0,1.0
PRPCNT,38487.0,0.7862135266453608,0.6207318514626422,0.0,0.0,1.0,1.0,23.0
SLFEMP,38487.0,0.28048431938057006,0.44924170527877566,0.0,0.0,0.0,1.0,1.0
RETMON,38487.0,0.34328474549848,0.47481173819685113,0.0,0.0,0.0,1.0,1.0
